galaxy,r_kpc,v_obs_kmps,v_err_kmps,v_gas_kmps,v_disk_kmps,v_bul_kmps,a_obs_kmps2_per_kpc
F563-1,1.07,22.1,7.17,1.98,18.3,0.0,456.4579439252337
F563-1,1.78,42.7,10.66,4.03,24.51,0.0,1024.3202247191011
F563-1,2.49,60.6,7.69,6.25,27.45,0.0,1474.8433734939758
F563-1,2.97,76.8,11.1,7.78,28.28,0.0,1985.9393939393938
F563-1,3.04,81.6,17.5,8.01,28.2,0.0,2190.315789473684
F563-1,3.19,87.0,8.93,8.49,28.16,0.0,2372.727272727273
F563-1,6.95,90.0,24.8,17.83,29.57,0.0,1165.4676258992806
F563-1,8.58,97.8,9.4,22.83,29.09,0.0,1114.7832167832169
F563-1,9.26,93.7,25.3,24.91,28.73,0.0,948.1306695464364
F563-1,9.89,103.0,23.8,26.69,28.7,0.0,1072.6996966632962
F563-1,10.08,97.4,11.0,27.31,28.73,0.0,941.1468253968254
F563-1,11.84,106.5,9.48,30.86,27.77,0.0,957.9603040540541
F563-1,14.56,112.0,11.0,30.44,25.73,0.0,861.5384615384615
F563-1,15.43,111.5,9.4,30.7,25.11,0.0,805.7193778353857
F563-1,17.93,111.0,24.3,33.36,23.48,0.0,687.1723368655884
F563-1,19.02,112.5,7.75,34.35,22.95,0.0,665.4179810725552
F563-1,20.1,106.0,10.7,35.34,22.07,0.0,559.0049751243781
